code,description
B966,Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters
B968,Other specified bacterial agents as the cause of diseases classified to other chapters
B970,Adenovirus as the cause of diseases classified to other chapters
B971,Enterovirus as the cause of diseases classified to other chapters
B972,Coronavirus as the cause of diseases classified to other chapters
B973,Retrovirus as the cause of diseases classified to other chapters
B974,Respiratory syncytial virus as the cause of diseases classified to other chapters
B975,Reovirus as the cause of diseases classified to other chapters
B976,Parvovirus as the cause of diseases classified to other chapters
B977,Papillomavirus as the cause of diseases classified to other chapters
B978,Other viral agents as the cause of diseases classified to other chapters
B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters
B981,Vibrio vulnificus as the cause of diseases classified to other chapters
B99X,Other and unspecified infectious diseases
C000,Malignant neoplasm: External upper lip
C001,Malignant neoplasm: External lower lip
C002,"Malignant neoplasm: External lip, unspecified"
C003,"Malignant neoplasm: Upper lip, inner aspect"
C004,"Malignant neoplasm: Lower lip, inner aspect"
C005,"Malignant neoplasm: Lip, unspecified, inner aspect"
C006,Malignant neoplasm: Commissure of lip
C008,Malignant neoplasm: Overlapping lesion of lip
C009,"Malignant neoplasm: Lip, unspecified"
C01X,Malignant neoplasm of base of tongue
C020,Malignant neoplasm: Dorsal surface of tongue
C021,Malignant neoplasm: Border of tongue
C022,Malignant neoplasm: Ventral surface of tongue
C023,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified"
C024,Malignant neoplasm: Lingual tonsil
C028,Malignant neoplasm: Overlapping lesion of tongue
C029,"Malignant neoplasm: Tongue, unspecified"
C030,Malignant neoplasm: Upper gum
C031,Malignant neoplasm: Lower gum
C039,"Malignant neoplasm: Gum, unspecified"
C040,Malignant neoplasm: Anterior floor of mouth
C041,Malignant neoplasm: Lateral floor of mouth
C048,Malignant neoplasm: Overlapping lesion of floor of mouth
C049,"Malignant neoplasm: Floor of mouth, unspecified"
C050,Malignant neoplasm: Hard palate
C051,Malignant neoplasm: Soft palate
C052,Malignant neoplasm: Uvula
C058,Malignant neoplasm: Overlapping lesion of palate
C059,"Malignant neoplasm: Palate, unspecified"
C060,Malignant neoplasm: Cheek mucosa
C061,Malignant neoplasm: Vestibule of mouth
C062,Malignant neoplasm: Retromolar area
C068,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth
C069,"Malignant neoplasm: Mouth, unspecified"
C07X,Malignant neoplasm of parotid gland
C080,Malignant neoplasm: Submandibular gland
C081,Malignant neoplasm: Sublingual gland
C088,Malignant neoplasm: Overlapping lesion of major salivary glands
C089,"Malignant neoplasm: Major salivary gland, unspecified"
C090,Malignant neoplasm: Tonsillar fossa
C091,Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
C098,Malignant neoplasm: Overlapping lesion of tonsil
C099,"Malignant neoplasm: Tonsil, unspecified"
C100,Malignant neoplasm: Vallecula
C101,Malignant neoplasm: Anterior surface of epiglottis
C102,Malignant neoplasm: Lateral wall of oropharynx
C103,Malignant neoplasm: Posterior wall of oropharynx
C104,Malignant neoplasm: Branchial cleft
C108,Malignant neoplasm: Overlapping lesion of oropharynx
C109,"Malignant neoplasm: Oropharynx, unspecified"
C110,Malignant neoplasm: Superior wall of nasopharynx
C111,Malignant neoplasm: Posterior wall of nasopharynx
C112,Malignant neoplasm: Lateral wall of nasopharynx
C113,Malignant neoplasm: Anterior wall of nasopharynx
C118,Malignant neoplasm: Overlapping lesion of nasopharynx
C119,"Malignant neoplasm: Nasopharynx, unspecified"
C12X,Malignant neoplasm of piriform sinus
C130,Malignant neoplasm: Postcricoid region
C131,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect"
C132,Malignant neoplasm: Posterior wall of hypopharynx
C138,Malignant neoplasm: Overlapping lesion of hypopharynx
C139,"Malignant neoplasm: Hypopharynx, unspecified"
C140,"Malignant neoplasm: Pharynx, unspecified"
C142,Malignant neoplasm: Waldeyer ring
C148,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
C150,Malignant neoplasm: Cervical part of oesophagus
C151,Malignant neoplasm: Thoracic part of oesophagus
C152,Malignant neoplasm: Abdominal part of oesophagus
C153,Malignant neoplasm: Upper third of oesophagus
C154,Malignant neoplasm: Middle third of oesophagus
C155,Malignant neoplasm: Lower third of oesophagus
C158,Malignant neoplasm: Overlapping lesion of oesophagus
C159,"Malignant neoplasm: Oesophagus, unspecified"
C160,Malignant neoplasm: Cardia
C161,Malignant neoplasm: Fundus of stomach
C162,Malignant neoplasm: Body of stomach
C163,Malignant neoplasm: Pyloric antrum
C164,Malignant neoplasm: Pylorus
C165,"Malignant neoplasm: Lesser curvature of stomach, unspecified"
C166,"Malignant neoplasm: Greater curvature of stomach, unspecified"
C168,Malignant neoplasm: Overlapping lesion of stomach
C169,"Malignant neoplasm: Stomach, unspecified"
C170,Malignant neoplasm: Duodenum
C171,Malignant neoplasm: Jejunum
C172,Malignant neoplasm: Ileum
C173,Malignant neoplasm: Meckel diverticulum
C178,Malignant neoplasm: Overlapping lesion of small intestine
C179,"Malignant neoplasm: Small intestine, unspecified"
C180,Malignant neoplasm: Caecum
C181,Malignant neoplasm: Appendix
C182,Malignant neoplasm: Ascending colon
C183,Malignant neoplasm: Hepatic flexure
C184,Malignant neoplasm: Transverse colon
C185,Malignant neoplasm: Splenic flexure
C186,Malignant neoplasm: Descending colon
C187,Malignant neoplasm: Sigmoid colon
C188,Malignant neoplasm: Overlapping lesion of colon
C189,"Malignant neoplasm: Colon, unspecified"
C19X,Malignant neoplasm of rectosigmoid junction
C20X,Malignant neoplasm of rectum
C210,"Malignant neoplasm: Anus, unspecified"
C211,Malignant neoplasm: Anal canal
C212,Malignant neoplasm: Cloacogenic zone
C218,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal"
C220,Malignant neoplasm: Liver cell carcinoma
C221,Malignant neoplasm: Intrahepatic bile duct carcinoma
C222,Malignant neoplasm: Hepatoblastoma
C223,Malignant neoplasm: Angiosarcoma of liver
C224,Malignant neoplasm: Other sarcomas of liver
C227,Malignant neoplasm: Other specified carcinomas of liver
C229,"Malignant neoplasm: Liver, unspecified"
C23X,Malignant neoplasm of gallbladder
C240,Malignant neoplasm: Extrahepatic bile duct
C241,Malignant neoplasm: Ampulla of Vater
C248,Malignant neoplasm: Overlapping lesion of biliary tract
C249,"Malignant neoplasm: Biliary tract, unspecified"
C250,Malignant neoplasm: Head of pancreas
C251,Malignant neoplasm: Body of pancreas
C252,Malignant neoplasm: Tail of pancreas
C253,Malignant neoplasm: Pancreatic duct
C254,Malignant neoplasm: Endocrine pancreas
C257,Malignant neoplasm: Other parts of pancreas
C258,Malignant neoplasm: Overlapping lesion of pancreas
C259,"Malignant neoplasm: Pancreas, unspecified"
C260,"Malignant neoplasm: Intestinal tract, part unspecified"
C261,Malignant neoplasm: Spleen
C268,Malignant neoplasm: Overlapping lesion of digestive system
C269,Malignant neoplasm: Ill-defined sites within the digestive system
C300,Malignant neoplasm: Nasal cavity
C301,Malignant neoplasm: Middle ear
C310,Malignant neoplasm: Maxillary sinus
C311,Malignant neoplasm: Ethmoidal sinus
C312,Malignant neoplasm: Frontal sinus
C313,Malignant neoplasm: Sphenoidal sinus
C318,Malignant neoplasm: Overlapping lesion of accessory sinuses
C319,"Malignant neoplasm: Accessory sinus, unspecified"
C320,Malignant neoplasm: Glottis
C321,Malignant neoplasm: Supraglottis
C322,Malignant neoplasm: Subglottis
C323,Malignant neoplasm: Laryngeal cartilage
C328,Malignant neoplasm: Overlapping lesion of larynx
C329,"Malignant neoplasm: Larynx, unspecified"
C33X,Malignant neoplasm of trachea
C340,Malignant neoplasm: Main bronchus
C341,"Malignant neoplasm: Upper lobe, bronchus or lung"
C342,"Malignant neoplasm: Middle lobe, bronchus or lung"
C343,"Malignant neoplasm: Lower lobe, bronchus or lung"
C348,Malignant neoplasm: Overlapping lesion of bronchus and lung
C349,"Malignant neoplasm: Bronchus or lung, unspecified"
C37X,Malignant neoplasm of thymus
C380,Malignant neoplasm: Heart
C381,Malignant neoplasm: Anterior mediastinum
C382,Malignant neoplasm: Posterior mediastinum
C383,"Malignant neoplasm: Mediastinum, part unspecified"
C384,Malignant neoplasm: Pleura
C388,"Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura"
C390,"Malignant neoplasm: Upper respiratory tract, part unspecified"
C398,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs
C399,Malignant neoplasm: Ill-defined sites within the respiratory system
C400,Malignant neoplasm: Scapula and long bones of upper limb
C401,Malignant neoplasm: Short bones of upper limb
C402,Malignant neoplasm: Long bones of lower limb
C403,Malignant neoplasm: Short bones of lower limb
C408,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs
C409,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified"
C410,Malignant neoplasm: Bones of skull and face
C411,Malignant neoplasm: Mandible
C412,Malignant neoplasm: Vertebral column
C413,"Malignant neoplasm: Ribs, sternum and clavicle"
C414,"Malignant neoplasm: Pelvic bones, sacrum and coccyx"
C418,Malignant neoplasm: Overlapping lesion of bone and articular cartilage
C419,"Malignant neoplasm: Bone and articular cartilage, unspecified"
C430,Malignant neoplasm: Malignant melanoma of lip
C431,"Malignant neoplasm: Malignant melanoma of eyelid, including canthus"
C432,Malignant neoplasm: Malignant melanoma of ear and external auricular canal
C433,Malignant neoplasm: Malignant melanoma of other and unspecified parts of face
C434,Malignant neoplasm: Malignant melanoma of scalp and neck
C435,Malignant neoplasm: Malignant melanoma of trunk
C436,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder"
C437,"Malignant neoplasm: Malignant melanoma of lower limb, including hip"
C438,Malignant neoplasm: Overlapping malignant melanoma of skin
C439,"Malignant neoplasm: Malignant melanoma of skin, unspecified"
C440,Malignant neoplasm: Skin of lip
C441,"Malignant neoplasm: Skin of eyelid, including canthus"
C442,Malignant neoplasm: Skin of ear and external auricular canal
C443,Malignant neoplasm: Skin of other and unspecified parts of face
C444,Malignant neoplasm: Skin of scalp and neck
C445,Malignant neoplasm: Skin of trunk
C446,"Malignant neoplasm: Skin of upper limb, including shoulder"
C447,"Malignant neoplasm: Skin of lower limb, including hip"
C448,Malignant neoplasm: Overlapping lesion of skin
C449,"Malignant neoplasm: Malignant neoplasm of skin, unspecified"
C450,Mesothelioma of pleura
C451,Mesothelioma of peritoneum
C452,Mesothelioma of pericardium
C457,Mesothelioma of other sites
C459,"Mesothelioma, unspecified"
C460,Kaposi sarcoma of skin
C461,Kaposi sarcoma of soft tissue
C462,Kaposi sarcoma of palate
C463,Kaposi sarcoma of lymph nodes
C467,Kaposi sarcoma of other sites
C468,Kaposi sarcoma of multiple organs
C469,"Kaposi sarcoma, unspecified"
C470,"Malignant neoplasm: Peripheral nerves of head, face and neck"
C471,"Malignant neoplasm: Peripheral nerves of upper limb, including shoulder"
C472,"Malignant neoplasm: Peripheral nerves of lower limb, including hip"
C473,Malignant neoplasm: Peripheral nerves of thorax
C474,Malignant neoplasm: Peripheral nerves of abdomen
C475,Malignant neoplasm: Peripheral nerves of pelvis
C476,"Malignant neoplasm: Peripheral nerves of trunk, unspecified"
C478,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system
C479,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified"
C480,Malignant neoplasm: Retroperitoneum
C481,Malignant neoplasm: Specified parts of peritoneum
C482,"Malignant neoplasm: Peritoneum, unspecified"
C488,Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum
C490,"Malignant neoplasm: Connective and soft tissue of head, face and neck"
C491,"Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder"
C492,"Malignant neoplasm: Connective and soft tissue of lower limb, including hip"
C493,Malignant neoplasm: Connective and soft tissue of thorax
C494,Malignant neoplasm: Connective and soft tissue of abdomen
C495,Malignant neoplasm: Connective and soft tissue of pelvis
C496,"Malignant neoplasm: Connective and soft tissue of trunk, unspecified"
C498,Malignant neoplasm: Overlapping lesion of connective and soft tissue
C499,"Malignant neoplasm: Connective and soft tissue, unspecified"
C500,Malignant neoplasm: Nipple and areola
C501,Malignant neoplasm: Central portion of breast
C502,Malignant neoplasm: Upper-inner quadrant of breast
C503,Malignant neoplasm: Lower-inner quadrant of breast
C504,Malignant neoplasm: Upper-outer quadrant of breast
C505,Malignant neoplasm: Lower-outer quadrant of breast
C506,Malignant neoplasm: Axillary tail of breast
C508,Malignant neoplasm: Overlapping lesion of breast
C509,"Malignant neoplasm: Breast, unspecified"
C510,Malignant neoplasm: Labium majus
C511,Malignant neoplasm: Labium minus
C512,Malignant neoplasm: Clitoris
C518,Malignant neoplasm: Overlapping lesion of vulva
C519,"Malignant neoplasm: Vulva, unspecified"
C52X,Malignant neoplasm of vagina
C530,Malignant neoplasm: Endocervix
C531,Malignant neoplasm: Exocervix
C538,Malignant neoplasm: Overlapping lesion of cervix uteri
C539,"Malignant neoplasm: Cervix uteri, unspecified"
C540,Malignant neoplasm: Isthmus uteri
C541,Malignant neoplasm: Endometrium
C542,Malignant neoplasm: Myometrium
C543,Malignant neoplasm: Fundus uteri
C548,Malignant neoplasm: Overlapping lesion of corpus uteri
C549,"Malignant neoplasm: Corpus uteri, unspecified"
C55X,"Malignant neoplasm of uterus, part unspecified"
C56X,Malignant neoplasm of ovary
C570,Malignant neoplasm: Fallopian tube
C571,Malignant neoplasm: Broad ligament
C572,Malignant neoplasm: Round ligament
C573,Malignant neoplasm: Parametrium
C574,"Malignant neoplasm: Uterine adnexa, unspecified"
C577,Malignant neoplasm: Other specified female genital organs
C578,Malignant neoplasm: Overlapping lesion of female genital organs
C579,"Malignant neoplasm: Female genital organ, unspecified"
C58X,Malignant neoplasm of placenta
C600,Malignant neoplasm: Prepuce
C601,Malignant neoplasm: Glans penis
C602,Malignant neoplasm: Body of penis
